Time (Year/Month),"Economic Activity, Industrial Production, Index","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index",Country
1959-12-01,32.5003052076715,4.2000000032,4811.47434116477,24.6169286782733,Germany
1960-01-01,31.1938811019131,4.2000000032,4724.15578531513,24.6169286782733,Germany
1960-02-01,31.0415985374382,4.2000000032,4806.36283037685,24.477068434352,Germany
1960-03-01,32.2037549505362,4.2000000032,4966.45601579936,24.477068434352,Germany
1960-04-01,34.2876216222981,4.2000000032,5236.12062415449,24.6169286782733,Germany
1960-05-01,33.7265805952853,4.2000000032,5417.0918471847,24.6868644511529,Germany
1960-06-01,34.3998298277007,4.2000000032,5843.76690714421,24.6868644511529,Germany
1960-07-01,32.3480226431966,4.2000000032,6124.72853785116,24.6868644511529,Germany
1960-08-01,31.1538067428407,4.2000000032,6358.68057623484,24.6868644511529,Germany
1960-09-01,34.6563057257637,4.2000000032,6643.27290237623,24.6169286782733,Germany
1960-10-01,35.8905959851919,4.2000000032,6878.94807071075,24.6868644511529,Germany
1960-11-01,37.2691539372805,4.2000000032,6909.71814983537,24.7568002240326,Germany
1960-12-01,36.0428785496668,4.2000000032,7053.73822895998,24.7568002240326,Germany
1961-01-01,33.4701046972222,4.2000000032,6987.74674401697,24.9666075426714,Germany
1961-02-01,34.8085882902386,4.2000000032,7057.50971296172,24.9666075426714,Germany
1961-03-01,36.2272206013996,4.000000003,7446.15251971461,24.9666075426714,Germany
1961-04-01,36.9726036801452,4.000000003,7111.59562260896,24.9666075426714,Germany
1961-05-01,36.1871462423272,4.000000003,7159.2182880248,25.1764148613103,Germany
1961-06-01,35.5539713689842,4.000000003,7299.59367954056,25.3162751052316,Germany
1961-07-01,33.9509970060904,4.000000003,7186.6474441504,25.3162751052316,Germany
1961-08-01,32.9491380292817,4.000000003,7108.42864956172,25.3162751052316,Germany
1961-09-01,36.6760534230098,4.000000003,7135.83328821364,25.3162751052316,Germany
1961-10-01,36.74818726934,4.000000003,6908.70033718235,25.3162751052316,Germany
1961-11-01,38.5755780430389,4.000000003,6791.2304719609,25.4561466509909,Germany
1961-12-01,37.6057785534882,4.000000003,7166.98749497453,25.4561466509909,Germany
1962-01-01,33.9509970060903,4.000000003,6460.48968439089,25.7358897425094,Germany
1962-02-01,35.8505216261195,4.000000003,6444.19648003649,25.805825515389,Germany
1962-03-01,35.9627298315221,4.000000003,6649.12011355997,25.8757499864307,Germany
1962-04-01,37.8622544515512,4.000000003,6552.62335507788,25.9456857593104,Germany
1962-05-01,37.8301949642933,4.000000003,6589.7055988364,25.9456857593104,Germany
1962-06-01,38.6076375302968,4.000000003,6831.71838532627,25.9456857593104,Germany
1962-07-01,34.9929303419713,4.000000003,6738.21117208988,26.01562153219,Germany
1962-08-01,34.4719636740309,4.000000003,6781.26495904488,25.8757499864307,Germany
1962-09-01,39.0564703519071,4.000000003,6999.95335507788,25.8757499864307,Germany
1962-10-01,38.575578043039,4.000000003,7048.54923838914,25.9456857593104,Germany
1962-11-01,41.0361436900809,4.000000003,6982.58054284655,26.01562153219,Germany
1962-12-01,39.5774370198476,4.000000003,6960.27092138115,26.1554930779492,Germany
